wave_id,task_id,system,score
20260903T005830Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,Claude Opus 5,1.000000
20260903T161426Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,Claude Opus 5,1.000000
20260903T205217Z-P15-A-FIN-DEBUG-001-claude-code,P15-A-FIN-DEBUG-001,Claude Opus 5,1.000000
20260901T140303Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260901T144648Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260901T152812Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260902T185908Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260902T233033Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260903T020849Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260903T045544Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260903T223744Z-P15-A-FIN-DEBUG-001-codex,P15-A-FIN-DEBUG-001,Codex GPT-5.6 Sol,1.000000
20260902T152750Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,Qwen3.8-max,1.000000
20260902T172945Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,Qwen3.8-max,1.000000
20260902T194533Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,Qwen3.8-max,1.000000
20260902T223206Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,Qwen3.8-max,1.000000
20260903T010737Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,Qwen3.8-max,1.000000
20260903T035628Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,Qwen3.8-max,1.000000
20260903T103800Z-P15-A-FIN-DEBUG-001-qwen-coder,P15-A-FIN-DEBUG-001,Qwen3.8-max,1.000000
20260901T135910Z-P15-A-STAT-EXPERIMENT-001-claude-code,P15-A-STAT-EXPERIMENT-001,Claude Opus 5,0.000000
20260901T151011Z-P15-A-STAT-EXPERIMENT-001-claude-code,P15-A-STAT-EXPERIMENT-001,Claude Opus 5,1.000000
20260902T172141Z-P15-A-STAT-EXPERIMENT-001-claude-code,P15-A-STAT-EXPERIMENT-001,Claude Opus 5,1.000000
20260902T185915Z-P15-A-STAT-EXPERIMENT-001-claude-code,P15-A-STAT-EXPERIMENT-001,Claude Opus 5,0.695652
20260903T010633Z-P15-A-STAT-EXPERIMENT-001-claude-code,P15-A-STAT-EXPERIMENT-001,Claude Opus 5,0.652174
20260901T103348Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,Codex GPT-5.6 Sol,0.913043
20260901T143527Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,Codex GPT-5.6 Sol,0.913043
20260902T113408Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,Codex GPT-5.6 Sol,1.000000
20260903T013038Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,Codex GPT-5.6 Sol,0.739130
20260903T042635Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,Codex GPT-5.6 Sol,1.000000
20260903T065519Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,Codex GPT-5.6 Sol,0.913043
20260903T211540Z-P15-A-STAT-EXPERIMENT-001-codex,P15-A-STAT-EXPERIMENT-001,Codex GPT-5.6 Sol,1.000000
20260902T162908Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,Qwen3.8-max,0.913043
20260902T183408Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,Qwen3.8-max,1.000000
20260902T212512Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,Qwen3.8-max,1.000000
20260902T233022Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,Qwen3.8-max,1.000000
20260903T015350Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,Qwen3.8-max,1.000000
20260903T044842Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,Qwen3.8-max,1.000000
20260904T015158Z-P15-A-STAT-EXPERIMENT-001-qwen-coder,P15-A-STAT-EXPERIMENT-001,Qwen3.8-max,1.000000
20260901T105026Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,Claude Opus 5,0.384615
20260901T143401Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,Claude Opus 5,0.115385
20260901T144839Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,Claude Opus 5,0.115385
20260901T151710Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,Claude Opus 5,0.230769
20260902T123803Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,Claude Opus 5,0.000000
20260902T183406Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,Claude Opus 5,0.000000
20260903T004926Z-P15-B-FIN-RECON-001-claude-code,P15-B-FIN-RECON-001,Claude Opus 5,0.384615
20260901T141432Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,1.000000
20260901T145408Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,0.615385
20260902T171638Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,0.615385
20260902T195333Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,0.230769
20260902T234136Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,0.615385
20260903T022654Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,0.615385
20260903T051450Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,0.692308
20260904T024252Z-P15-B-FIN-RECON-001-codex,P15-B-FIN-RECON-001,Codex GPT-5.6 Sol,0.615385
20260902T153853Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,Qwen3.8-max,0.615385
20260902T174250Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,Qwen3.8-max,0.615385
20260902T201552Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,Qwen3.8-max,0.615385
20260902T225213Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,Qwen3.8-max,0.615385
20260903T013043Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,Qwen3.8-max,0.615385
20260903T041734Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,Qwen3.8-max,0.692308
20260903T200346Z-P15-B-FIN-RECON-001-qwen-coder,P15-B-FIN-RECON-001,Qwen3.8-max,0.615385
20260901T143513Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,Claude Opus 5,0.629630
20260901T152157Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,Claude Opus 5,0.370370
20260902T152749Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,Claude Opus 5,1.000000
20260902T174952Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,Claude Opus 5,0.888889
20260902T200039Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,Claude Opus 5,0.740741
20260903T014647Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,Claude Opus 5,1.000000
20260903T191357Z-P15-B-HEALTH-REPORT-001-claude-code,P15-B-HEALTH-REPORT-001,Claude Opus 5,1.000000
20260901T151035Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,0.555556
20260902T140736Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,1.000000
20260902T181756Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,1.000000
20260902T223816Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,0.925926
20260903T011734Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,0.888889
20260903T041331Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,0.925926
20260903T064515Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,0.925926
20260904T005114Z-P15-B-HEALTH-REPORT-001-codex,P15-B-HEALTH-REPORT-001,Codex GPT-5.6 Sol,0.925926
20260902T142047Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,Qwen3.8-max,0.925926
20260902T170637Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,Qwen3.8-max,0.925926
20260902T185815Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,Qwen3.8-max,0.296296
20260902T221358Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,Qwen3.8-max,0.814815
20260903T004928Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,Qwen3.8-max,0.814815
20260903T032721Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,Qwen3.8-max,1.000000
20260903T082028Z-P15-B-HEALTH-REPORT-001-qwen-coder,P15-B-HEALTH-REPORT-001,Qwen3.8-max,0.925926
20260901T141423Z-P15-B-OPS-CLEAN-JOIN-001-claude-code,P15-B-OPS-CLEAN-JOIN-001,Claude Opus 5,0.730769
20260901T143659Z-P15-B-OPS-CLEAN-JOIN-001-claude-code,P15-B-OPS-CLEAN-JOIN-001,Claude Opus 5,0.730769
20260901T150018Z-P15-B-OPS-CLEAN-JOIN-001-claude-code,P15-B-OPS-CLEAN-JOIN-001,Claude Opus 5,0.730769
20260901T152111Z-P15-B-OPS-CLEAN-JOIN-001-claude-code,P15-B-OPS-CLEAN-JOIN-001,Claude Opus 5,0.538462
20260903T160823Z-P15-B-OPS-CLEAN-JOIN-001-claude-code,P15-B-OPS-CLEAN-JOIN-001,Claude Opus 5,0.730769
20260902T175049Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,Codex GPT-5.6 Sol,1.000000
20260902T223112Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,Codex GPT-5.6 Sol,1.000000
20260903T010731Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,Codex GPT-5.6 Sol,0.923077
20260903T033822Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,Codex GPT-5.6 Sol,0.846154
20260903T063913Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,Codex GPT-5.6 Sol,0.730769
20260903T125832Z-P15-B-OPS-CLEAN-JOIN-001-codex,P15-B-OPS-CLEAN-JOIN-001,Codex GPT-5.6 Sol,0.846154
20260901T144209Z-P15-B-OPS-CLEAN-JOIN-001-qwen-coder,P15-B-OPS-CLEAN-JOIN-001,Qwen3.8-max,1.000000
20260901T153213Z-P15-B-OPS-CLEAN-JOIN-001-qwen-coder,P15-B-OPS-CLEAN-JOIN-001,Qwen3.8-max,1.000000
20260902T234226Z-P15-B-OPS-CLEAN-JOIN-001-qwen-coder,P15-B-OPS-CLEAN-JOIN-001,Qwen3.8-max,0.884615
20260903T021757Z-P15-B-OPS-CLEAN-JOIN-001-qwen-coder,P15-B-OPS-CLEAN-JOIN-001,Qwen3.8-max,0.846154
20260903T054754Z-P15-B-OPS-CLEAN-JOIN-001-qwen-coder,P15-B-OPS-CLEAN-JOIN-001,Qwen3.8-max,1.000000
20260903T143028Z-P15-B-OPS-CLEAN-JOIN-001-qwen-coder,P15-B-OPS-CLEAN-JOIN-001,Qwen3.8-max,0.846154
20260902T135340Z-P15-B-PUBLIC-PIVOT-001-claude-code,P15-B-PUBLIC-PIVOT-001,Claude Opus 5,1.000000
20260903T095228Z-P15-B-PUBLIC-PIVOT-001-claude-code,P15-B-PUBLIC-PIVOT-001,Claude Opus 5,1.000000
20260903T101739Z-P15-B-PUBLIC-PIVOT-001-claude-code,P15-B-PUBLIC-PIVOT-001,Claude Opus 5,1.000000
20260903T102251Z-P15-B-PUBLIC-PIVOT-001-claude-code,P15-B-PUBLIC-PIVOT-001,Claude Opus 5,1.000000
20260903T212858Z-P15-B-PUBLIC-PIVOT-001-claude-code,P15-B-PUBLIC-PIVOT-001,Claude Opus 5,1.000000
20260901T151558Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,Codex GPT-5.6 Sol,1.000000
20260903T103757Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,Codex GPT-5.6 Sol,1.000000
20260903T110514Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,Codex GPT-5.6 Sol,1.000000
20260903T111322Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,Codex GPT-5.6 Sol,1.000000
20260903T111932Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,Codex GPT-5.6 Sol,1.000000
20260903T223137Z-P15-B-PUBLIC-PIVOT-001-codex,P15-B-PUBLIC-PIVOT-001,Codex GPT-5.6 Sol,1.000000
20260902T140738Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260903T122334Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260903T125825Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260903T204416Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260903T205428Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260903T210640Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260903T213702Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260904T011543Z-P15-B-PUBLIC-PIVOT-001-qwen-coder,P15-B-PUBLIC-PIVOT-001,Qwen3.8-max,1.000000
20260901T142644Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,Claude Opus 5,0.320000
20260901T145226Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,Claude Opus 5,0.320000
20260901T154557Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,Claude Opus 5,0.880000
20260902T201556Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,Claude Opus 5,0.320000
20260903T020251Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,Claude Opus 5,0.320000
20260903T143026Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,Claude Opus 5,0.320000
20260903T200344Z-P15-B-SALES-DISCOVERY-001-claude-code,P15-B-SALES-DISCOVERY-001,Claude Opus 5,0.320000
20260902T142039Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,Codex GPT-5.6 Sol,1.000000
20260902T184904Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,Codex GPT-5.6 Sol,1.000000
20260902T232330Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,Codex GPT-5.6 Sol,1.000000
20260903T021651Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,Codex GPT-5.6 Sol,0.920000
20260903T050547Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,Codex GPT-5.6 Sol,1.000000
20260903T124425Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,Codex GPT-5.6 Sol,1.000000
20260903T234546Z-P15-B-SALES-DISCOVERY-001-codex,P15-B-SALES-DISCOVERY-001,Codex GPT-5.6 Sol,1.000000
20260901T151036Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,Qwen3.8-max,1.000000
20260902T235028Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,Qwen3.8-max,0.920000
20260903T022800Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,Qwen3.8-max,1.000000
20260903T055758Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,Qwen3.8-max,1.000000
20260903T160122Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,Qwen3.8-max,1.000000
20260904T001023Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,Qwen3.8-max,1.000000
20260904T021607Z-P15-B-SALES-DISCOVERY-001-qwen-coder,P15-B-SALES-DISCOVERY-001,Qwen3.8-max,1.000000
20260901T144349Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,Claude Opus 5,0.068966
20260901T153136Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,Claude Opus 5,0.758621
20260902T142542Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,Claude Opus 5,0.655172
20260902T174249Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,Claude Opus 5,1.000000
20260902T194932Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,Claude Opus 5,1.000000
20260903T013844Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,Claude Opus 5,1.000000
20260903T190454Z-P15-C-INVOICE-001-claude-code,P15-C-INVOICE-001,Claude Opus 5,0.551724
20260901T142233Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,1.000000
20260902T170534Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,1.000000
20260902T200536Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,0.758621
20260902T235741Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,1.000000
20260903T023705Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,1.000000
20260903T053154Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,1.000000
20260903T204411Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,0.758621
20260904T011024Z-P15-C-INVOICE-001-codex,P15-C-INVOICE-001,Codex GPT-5.6 Sol,1.000000
20260901T145919Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,Qwen3.8-max,1.000000
20260902T172143Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,Qwen3.8-max,1.000000
20260902T193529Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,Qwen3.8-max,1.000000
20260902T222301Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,Qwen3.8-max,1.000000
20260903T005832Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,Qwen3.8-max,1.000000
20260903T034425Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,Qwen3.8-max,1.000000
20260903T093041Z-P15-C-INVOICE-001-qwen-coder,P15-C-INVOICE-001,Qwen3.8-max,1.000000
20260901T142605Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,Claude Opus 5,1.000000
20260901T145320Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,Claude Opus 5,0.866667
20260902T140737Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,Claude Opus 5,0.900000
20260902T172944Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,Claude Opus 5,0.866667
20260902T190819Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,Claude Opus 5,0.500000
20260903T210638Z-P15-C-PO-ADDENDUM-001-claude-code,P15-C-PO-ADDENDUM-001,Claude Opus 5,0.500000
20260901T111443Z-P15-C-PO-ADDENDUM-001-codex,P15-C-PO-ADDENDUM-001,Codex GPT-5.6 Sol,1.000000
20260901T143446Z-P15-C-PO-ADDENDUM-001-codex,P15-C-PO-ADDENDUM-001,Codex GPT-5.6 Sol,0.500000
20260902T183901Z-P15-C-PO-ADDENDUM-001-codex,P15-C-PO-ADDENDUM-001,Codex GPT-5.6 Sol,0.633333
